id; word; sound
fruits; [die] Früchte;http://dict.leo.org/media/audio/a1LzqaQv40fT_Uc0EZLUOw.mp3
apple; [der] Apfel;http://dict.leo.org/media/audio/Zbes8RQW-3UGJ34_wE9Y9w.mp3
pear; [die] Birne;http://dict.leo.org/media/audio/j8H36r2GCvsx1nrSqAGSqg.mp3
cherry; [die] Kirsche;http://dict.leo.org/media/audio/LWd01D1J8jvzOXRZNUxu6w.mp3
banana; [die] Banane;http://dict.leo.org/media/audio/0PhuUo2t3QOC2Z9zx-ORVA.mp3
city; [die] Stadt; http://vrserver3.linguatec.net/cache/u00010011/vr01688900.MP3
people; [die] Leute;http://dict.leo.org/media/audio/0SesTV_I4gFR4VTL3KEtUg.mp3
man; [der] Mann;http://dict.leo.org/media/audio/SRFOmhJKytwXpFGoaE_qsg.mp3
woman; [die] Frau;http://dict.leo.org/media/audio/SSmKYiiEULDVEFLFLf_GEg.mp3
child; [das] Kind;http://dict.leo.org/media/audio/R-_pDxqtfx3dFKiN6TPk4Q.mp3
house; [das] Haus;http://dict.leo.org/media/audio/abi_Ml-5k9Xitn9ixmQ38A.mp3
street;[die] Straße;http://vrserver3.linguatec.net/cache/u00010011/vr01900549.MP
potato;[die] Kartoffel;http://dict.leo.org/media/audio/AS_FE7hYkZbxk1CNjfmHFA.mp3
tomato;[die] Tomate;http://vrserver3.linguatec.net/cache/u00010011/vr01899674.MP3
shopping;einkaufen;http://dict.leo.org/media/audio/CWKrCTF7u_6Vgh729vPb2A.mp3
door;Tür;http://vrserver3.linguatec.net/cache/u00010011/vr01812088.MP3
wall;[die] Wand;http://vrserver3.linguatec.net/cache/u00010011/vr01880557.MP3
supermarket;[der] Supermarkt;http://vrserver3.linguatec.net/cache/u00010011/vr01880126.MP3
money;[das] Geld;http://dict.leo.org/media/audio/QWgJBzckfQbDF18AYjxssw.mp3
bag;[die] Tasche;http://vrserver3.linguatec.net/cache/u00010011/vr01892639.MP3
cart;[der] Einkaufswagen;http://dict.leo.org/media/audio/uW7fhFlryGib_Ls0joanOw.mp3
animal;[das] Tier;http://vrserver3.linguatec.net/cache/u00010011/vr01922009.MP3
dog;[der] Hund;http://dict.leo.org/media/audio/orI5-hm392LxGEuszZWB6A.mp3
cat;[die] Katze;http://dict.leo.org/media/audio/miBMDkZ05i1Ym4djZN_4xQ.mp3
cow;[die] Kuh;http://dict.leo.org/media/audio/4ibn80J9C3yfAKSemUi42w.mp3
pig;[das] Schwein;http://vrserver3.linguatec.net/cache/u00010011/vr01939455.MP3
horse;[das] Pferd;http://dict.leo.org/media/audio/QwIulLSEhfKCLwHzecKy7w.mp3
fish;[der] Fisch;http://dict.leo.org/media/audio/OVX9VqU3rBn19CMtdopuKQ.mp3
bird;[der] Vogel;http://vrserver3.linguatec.net/cache/u00010011/vr01862086.MP3
ant;[die] Ameise;http://dict.leo.org/media/audio/ZloxoUEz15WOqJ-Cnazwbw.mp3
bee;[die] Biene;http://dict.leo.org/media/audio/4gQcXZmfL_Y2phQTfQXJag.mp3
administration;[die] Verwaltung;http://vrserver3.linguatec.net/cache/u00010011/vr01922703.MP3
townhall;[das] Rathaus; http://vrserver3.linguatec.net/cache/u00010011/vr01922707.MP3
form;[das] Formular;http://dict.leo.org/media/audio/nge2C5bAPxzMcYWRTECkfw.mp3